Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,area,avg_power,sum_power,Throughput_per_watt_area,Throughput_per_watt_avg,Throughput_per_watt_sum
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,16,2.3995376597333538,3413.9910106309094,1798005.660721898,418237.2045454545,18402437.0,0.0018987654406272527,0.008162810418411433,0.0001855184186002598
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,16,5.043239996999993,3248.705199384947,3886499.557573557,431793.2637362637,39293187.0,0.0008358949103838823,0.0075237514621562815,8.267858749622286e-05
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,8.097759872433327,252.90945054716576,6528326.275646925,441083.711409396,65721473.0,3.8740320239601335e-05,0.0005733819771740005,3.848201189087253e-06
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,11.024687729899984,2972.23838015204,8825496.208872914,450240.1370558376,88697307.0,0.000336778613894121,0.006601451393444807,3.3509905550481254e-05
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,13.05667387020006,5019.348775309177,12218878.750328422,469933.2988505747,122652591.0,0.0004107863641067938,0.010680981295826805,4.092329998401075e-05
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,18.80866741549989,6968.70209380096,17838780.7415756,501144.3137254902,178908520.0,0.00039064901322316797,0.01390557949664411,3.895120307183224e-05
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,16,25.529886069100016,2567.030648809718,22021817.10715151,482808.7177242888,220643584.0,0.0001165676127596248,0.0053168688852789905,1.1634286401048118e-05
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,128,16,1.1241627269327483,3643.600612142549,848317.1533607244,423822.5238095238,8900273.0,0.004295092463600349,0.008596996165734864,0.00040938076979689825
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,256,16,2.347955059937279,3488.9935245263314,1783226.2459522486,424572.76744186046,18256629.0,0.0019565624566406027,0.00821765735364575,0.00019110831054990114
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,512,16,5.042441163835853,3249.2198654701747,3866287.974343538,434466.7888888889,39102011.0,0.0008403977890503265,0.007478638065247225,8.309597850274694e-05
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,16,11.292688895500032,2901.7004101704742,9221595.159913182,465726.2864321608,92679531.0,0.0003146636086112668,0.006230484502817827,3.130896735084335e-05
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,32,21.967821723632127,2983.2725713309537,13150923.86529696,485315.3602941177,132005778.0,0.0002268488968446772,0.006147080466447607,2.2599560538410323e-05
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,64,31.23852637673553,4195.84452926096,20105068.937393785,519278.4613402062,201480043.0,0.00020869585388275056,0.008080143586991653,2.0825112337607354e-05
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,128,1,0.9629630289273337,265.8461356353049,,722791.0,,,0.0003678049887661923,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,256,1,1.9637748380191624,260.722354766725,,719558.0,,,0.00036233681616593106,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,512,1,3.9555186110083014,258.8788224002243,,719229.125,,,0.0003599392925032399,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,1024,1,8.038420352968387,254.77642497803998,,721667.7878787878,,,0.00035303837757108336,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,2048,1,16.561979961930774,247.3134256541205,,721831.7462686567,,,0.0003426192141486578,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,128,16,1.18537922995165,3455.434258087237,,783949.6,,,0.004407725009474126,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,256,16,2.4744820760097355,3310.5917716769795,,776852.1,,,0.004261547045669284,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,512,16,5.369891759008169,3051.0857081086046,,765092.9090909091,,,0.0039878630057281995,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,128,32,1.3999557059723884,5851.613708242261,,827941.0,,,0.007067669928463817,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,256,32,2.995298421010375,5469.90573128715,,816770.8333333334,,,0.006696989544746415,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,512,32,6.84419827000238,4787.704667122188,,798977.8928571428,,,0.005992286782806178,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,128,1,0.8292026480194181,308.7303213653088,,769192.0,,,0.0004013696468051004,
