Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,128,64,2.458584785461426,6663.996335162003
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,1,3.195230484008789,160.23883177204678
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,16,3.4649410247802734,2364.2538044408675
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,32,3.82637882232666,4281.855184959857
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,64,4.770974159240723,6868.199010580025
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,1,5.927537679672241,172.75301404016065
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,16,6.5846498012542725,2488.211293617939
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,32,7.831910610198975,4183.908835390488
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,64,10.293882846832275,6366.499500250998
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,1,11.333300828933716,180.70640062526994
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,16,13.293490648269653,2464.9658142472344
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,32,18.371145725250244,3567.333305179979
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,64,24.950685501098633,5253.242440742905
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,2048,1,23.758391618728638,172.40224278360412
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,2048,16,29.01187014579773,2258.9374511416204
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,2048,32,45.11291837692261,2905.4205472783055
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,2048,64,66.6368248462677,3933.9209304280434
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,128,1,5.273342609405518,48.546058726280975
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,128,16,6.308850526809692,649.2466389231917
